jud,rural,roma,II1,II8,II10,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
GALATI,0,0.00635418635418635,10,2,1,3,3,2,1,1,0,0,1,0,0,0
DAMBOVITA,1,,31,2,4,3,3,3,,,,,,,0,0
CLUJ,1,,78,1,2,3,3,2,0,0,1,1,1,0,0,0
GALATI,0,0.00635418635418635,26,2,1,1,1,4,,,,,,,0,0
SUCEAVA,0,0.00204026845637584,7,3,2,1,1,2,1,1,0,0,1,1,0,0
MURES,0,0.0225717899335997,40,2,2,1,1,2,1,0,0,0,0,0,0,0
PRAHOVA,1,,30,1,2,2,2,2,0,0,0,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,50,1,1,2,1,2,0,0,1,0,1,0,0,0
DOLJ,1,,20,2,1,1,1,2,0,0,1,0,1,0,0,0
VALCEA,0,0.012389446579841,10,1,3,3,3,3,,,,,,,0,0
CALARASI,1,,35,2,2,3,3,2,1,1,0,1,1,1,0,0
ARGES,1,,70,2,1,3,3,3,,,,,,,0,0
CARAS-SEVERIN,1,,52,3,2,3,3,1,1,0,0,0,0,0,0,0
NEAMT,1,,4,4,4,3,1,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,7,2,2,2,1,2,0,0,0,0,1,0,0,0
ILFOV,1,,29,4,1,2,1,1,1,1,0,0,0,1,0,0
BOTOSANI,1,,71,2,4,2,2,2,1,0,0,0,0,0,0,0
COVASNA,1,,28,2,1,1,1,3,,,,,,,0,0
IASI,1,,4,1,2,3,3,1,1,1,1,0,1,0,0,0
CLUJ,1,,10,2,1,1,3,2,1,1,1,0,1,0,0,0
IASI,1,,8,2,1,3,3,3,,,,,,,0,0
GORJ,1,,65,4,2,3,2,3,,,,,,,0,0
DOLJ,0,0.0126612709351711,100,2,1,3,1,3,,,,,,,1,0
BUCURESTI,0,0.0127187273323463,51,1,1,1,2,2,0,0,0,1,0,0,0,0
BUCURESTI,0,0.0127187273323463,89,1,3,2,3,2,1,1,0,0,0,0,0,0
CLUJ,1,,20,2,4,1,3,3,,,,,,,0,0
ARAD,1,,5,3,3,1,1,1,1,1,0,0,0,1,0,0
TIMIS,1,,10,2,1,1,3,3,,,,,,,0,0
ALBA,1,,78,1,4,1,1,3,,,,,,,0,0
ARGES,1,,89,2,1,3,3,4,,,,,,,0,0
DOLJ,1,,26,2,1,3,3,3,,,,,,,0,0
SATU MARE,1,,14,3,3,3,3,2,1,1,1,1,1,1,0,0
GALATI,1,,11,2,1,3,3,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,20,2,1,3,3,2,0,0,0,1,1,1,0,0
ILFOV,1,,10,1,2,3,1,2,0,0,0,0,1,0,0,0
BOTOSANI,0,0.0113163348049374,34,2,1,1,3,2,1,1,0,1,1,0,0,1
CALARASI,0,0.0313814918346329,50,1,2,2,1,2,1,1,0,1,1,0,0,0
CALARASI,0,0.0313814918346329,55,1,3,1,1,2,1,0,0,0,1,1,0,0
BRASOV,0,0.00321409129212436,100,1,1,2,3,2,0,0,0,1,0,0,1,0
BUCURESTI,0,0.0127187273323463,5,4,1,1,1,3,,,,,,,0,0
IALOMITA,1,,20,1,4,2,1,2,1,1,1,0,0,1,0,0
MEHEDINTI,1,,15,1,2,1,1,2,0,1,1,0,1,0,0,0
MARAMURES,0,0.0242448176799003,57,1,2,3,1,1,0,1,1,1,1,0,0,0
ARGES,0,0.00281498738109105,24,4,1,3,2,1,0,0,0,0,0,1,0,0
NEAMT,1,,22,1,2,1,3,3,,,,,,,0,0
HUNEDOARA,0,0.0119294524927098,36,2,2,2,3,5,,,,,,,0,0
GALATI,1,,50,1,2,2,1,2,0,0,0,1,1,1,0,0
