jud,rural,roma,II1,II8,II10,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
NEAMT,1,,89,1,2,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,1,3,4,1,1,1,1,1,0,0,1,0,0,0
CONSTANTA,1,,29,1,2,2,3,2,1,1,0,1,1,1,0,0
ARGES,1,,10,2,2,1,1,4,,,,,,,0,0
BRASOV,1,,30,4,4,1,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,89,2,2,3,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,89,1,4,3,1,2,0,0,0,0,0,1,0,0
TIMIS,1,,20,2,2,3,1,2,1,1,1,1,1,1,0,0
MURES,0,0.0225717899335997,97,3,3,2,1,2,1,0,1,0,1,0,0,0
TELEORMAN,1,,46,1,4,3,3,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,19,1,2,2,3,5,,,,,,,0,0
MARAMURES,1,,28,2,1,1,3,2,1,0,1,0,1,0,0,0
CALARASI,1,,57,1,3,3,1,2,0,0,0,0,1,0,0,1
GALATI,0,0.0395961714960011,89,1,3,3,3,2,0,0,0,1,0,0,0,0
ILFOV,1,,18,2,2,2,2,2,0,0,0,0,0,1,0,0
ARGES,1,,81,1,1,1,3,4,,,,,,,0,0
CONSTANTA,1,,42,4,4,2,1,4,,,,,,,0,0
ILFOV,0,0.0379465834200486,70,2,1,3,3,3,,,,,,,0,0
SUCEAVA,1,,74,4,1,3,3,4,,,,,,,0,0
VRANCEA,1,,25,2,1,3,3,2,1,0,0,0,1,1,0,0
OLT,1,,20,1,2,3,3,2,0,0,0,0,0,0,0,0
PRAHOVA,0,0.023673371271132,89,1,2,2,3,1,1,1,0,0,1,0,0,0
TIMIS,1,,20,2,1,1,3,3,,,,,,,0,0
CLUJ,0,0.0490183973330041,38,1,2,3,1,3,,,,,,,0,0
GALATI,1,,89,1,2,1,2,2,0,0,0,0,1,1,0,0
ILFOV,1,,15,2,1,1,3,1,1,0,1,0,1,0,0,0
CONSTANTA,1,,21,2,2,2,3,2,1,1,1,1,1,0,0,0
IASI,1,,30,2,1,2,1,4,,,,,,,0,0
VALCEA,0,0.012389446579841,20,4,4,1,3,3,,,,,,,0,0
CLUJ,1,,28,2,1,1,3,2,1,1,1,0,1,0,0,0
BUZAU,0,0.0456143778081657,73,3,2,2,3,2,0,1,0,0,1,0,0,0
BRASOV,1,,50,4,2,3,3,4,,,,,,,0,0
CALARASI,1,,41,4,1,1,2,2,0,1,0,0,0,0,0,0
TULCEA,0,0.0123796423658872,100,4,4,2,4,3,,,,,,,0,0
CLUJ,1,,15,2,1,1,3,3,,,,,,,0,0
BIHOR,1,,77,1,4,1,4,3,,,,,,,0,0
TIMIS,1,,35,2,4,1,2,3,,,,,,,0,0
ARGES,0,0.00331448625463053,89,1,2,1,1,3,,,,,,,0,1
CARAS-SEVERIN,0,0.0149858188773828,60,2,1,3,3,1,0,0,0,1,0,1,0,0
NEAMT,1,,71,1,2,3,1,1,0,1,0,1,1,0,0,0
BUZAU,1,,89,4,2,3,1,2,0,1,0,1,1,0,0,0
TIMIS,1,,5,3,2,2,3,3,,,,,,,0,0
ILFOV,0,0.00708771613019728,27,1,2,3,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,20,3,3,1,3,3,,,,,,,0,0
ALBA,1,,20,3,2,3,3,2,0,1,1,0,1,0,0,0
OLT,1,,65,3,3,2,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,80,3,4,1,3,2,0,1,0,0,0,1,0,0
OLT,0,0.039283705231577,26,4,4,1,1,2,1,0,0,1,1,0,0,0
DAMBOVITA,1,,15,1,2,3,3,2,0,1,0,0,1,0,0,0
TIMIS,1,,5,1,4,2,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,30,3,2,1,3,3,,,,,,,0,0
MARAMURES,1,,33,4,2,3,3,2,0,0,0,0,1,0,0,0
NEAMT,0,0.04568697198755,14,1,2,2,3,3,,,,,,,0,0
TELEORMAN,0,0.0198271479410269,3,2,1,1,3,2,0,1,0,0,1,1,0,0
GALATI,0,0.0395961714960011,24,4,4,1,1,2,0,1,1,0,1,0,0,0
SIBIU,1,,35,2,2,3,1,1,0,0,0,0,1,1,0,0
CLUJ,0,0.00995949288436951,10,4,2,3,3,2,1,1,0,0,1,0,0,0
OLT,1,,15,3,3,2,1,3,,,,,,,0,0
GIURGIU,0,0.0456301951073327,29,3,3,1,1,4,,,,,,,0,0
CLUJ,1,,11,1,2,1,3,2,0,0,0,1,0,1,0,0
CLUJ,0,0.00995949288436951,7,1,2,2,1,3,,,,,,,0,0
ARAD,1,,10,1,2,1,3,4,,,,,,,0,0
DOLJ,1,,18,4,2,2,3,1,0,0,0,0,1,0,0,1
CONSTANTA,0,0.00791259257216147,15,3,2,1,1,2,1,0,0,0,1,0,0,0
DAMBOVITA,0,0.033276736029348,51,3,4,1,3,1,0,1,0,0,0,0,0,0
PRAHOVA,1,,20,2,2,2,1,2,0,1,0,0,1,0,0,0
TIMIS,1,,50,3,1,1,3,1,0,0,0,0,1,0,0,0
TELEORMAN,0,0.0167676628563559,50,2,1,3,3,2,1,0,0,1,1,0,0,0
BACAU,0,0.00804063913393598,8,2,1,2,1,1,1,1,1,1,1,0,0,0
DAMBOVITA,0,0.033276736029348,35,1,2,3,1,2,0,0,0,0,1,0,0,0
CARAS-SEVERIN,1,,29,4,2,1,2,2,0,0,0,0,0,1,0,0
SUCEAVA,0,0.00655174607213282,23,3,3,1,3,2,1,1,0,1,1,0,0,0
CALARASI,1,,20,1,4,1,2,4,,,,,,,0,1
VRANCEA,1,,50,2,1,1,1,3,,,,,,,0,0
PRAHOVA,1,,20,4,1,2,1,3,,,,,,,0,0
GIURGIU,1,,21,4,2,3,1,3,,,,,,,0,0
TIMIS,1,,50,3,3,2,1,3,,,,,,,0,0
BRASOV,1,,13,1,3,1,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,5,1,2,1,3,3,,,,,,,0,0
GIURGIU,1,,70,3,3,1,3,2,0,0,0,0,1,0,0,0
DAMBOVITA,1,,10,2,1,1,3,3,,,,,,,0,0
IALOMITA,0,0.0266513356466747,89,1,2,1,3,2,1,1,0,0,1,0,0,0
SUCEAVA,1,,89,3,3,3,3,5,,,,,,,0,0
BIHOR,1,,47,4,4,2,1,3,,,,,,,0,0
IASI,1,,64,1,2,1,2,3,,,,,,,0,0
GIURGIU,0,0.0456301951073327,20,2,1,1,3,3,,,,,,,0,1
BRASOV,1,,20,2,1,3,1,2,0,1,0,1,1,0,0,0
CALARASI,1,,20,4,4,2,3,2,0,0,0,0,0,1,0,0
CONSTANTA,1,,18,3,3,1,3,4,,,,,,,0,0
NEAMT,1,,19,1,2,1,3,1,1,1,1,0,1,0,0,0
BRASOV,1,,56,4,2,2,3,3,,,,,,,0,0
BIHOR,1,,20,2,1,3,4,3,,,,,,,0,0
CLUJ,1,,20,3,3,1,1,4,,,,,,,0,0
ARAD,0,0.015784484603859,10,4,4,2,1,3,,,,,,,0,0
BRASOV,0,0.00321409129212436,89,1,1,1,1,1,0,1,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,10,2,2,3,1,1,0,0,0,0,1,0,0,0
GIURGIU,0,0.173886700999697,43,2,1,2,3,2,0,1,0,1,1,0,0,0
NEAMT,0,0.0165117658690923,48,1,3,3,1,1,1,0,0,0,0,0,0,0
PRAHOVA,1,,20,1,2,2,2,3,,,,,,,0,0
NEAMT,0,0.0165117658690923,14,1,2,1,1,2,0,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,8,2,1,2,3,2,1,0,0,0,1,0,0,0
SIBIU,0,0.00387084962533837,89,1,3,2,3,5,,,,,,,0,0
BRASOV,1,,40,2,2,2,2,2,1,1,0,0,1,0,0,0
ARGES,1,,25,1,4,1,2,1,1,1,1,1,1,1,1,1
VRANCEA,0,0.0118903472659466,5,3,3,1,3,2,1,1,1,0,0,0,0,0
BRASOV,1,,50,3,3,3,3,3,,,,,,,0,0
TIMIS,1,,5,2,1,1,1,3,,,,,,,0,0
VRANCEA,1,,89,2,1,3,1,2,0,1,0,1,1,0,0,0
IASI,0,0.00461806716354316,88,4,2,3,3,3,,,,,,,0,0
CONSTANTA,0,0.00791259257216147,30,3,2,1,1,2,1,1,1,0,1,1,0,0
ILFOV,0,0.0501434887148065,54,4,3,2,1,2,0,0,0,0,1,0,0,0
TELEORMAN,0,0.0198271479410269,80,3,2,1,2,2,0,1,0,1,1,0,0,0
BRASOV,0,0.00321409129212436,30,1,2,3,3,2,0,0,0,1,1,0,0,0
PRAHOVA,1,,89,2,1,3,1,2,1,1,0,0,1,0,0,0
ARGES,1,,13,2,2,1,2,2,0,0,1,0,0,1,0,0
SATU MARE,1,,10,2,1,3,1,2,0,1,0,0,1,1,0,0
MARAMURES,1,,16,2,1,1,1,3,,,,,,,1,0
SALAJ,1,,15,1,2,2,3,1,0,1,0,0,0,0,0,0
NEAMT,1,,68,3,3,3,3,3,,,,,,,0,0
GIURGIU,1,,12,4,4,3,3,2,1,1,1,1,1,1,0,0
CONSTANTA,1,,57,1,1,3,3,2,1,1,1,1,1,0,0,0
BUZAU,0,0.0456143778081657,35,1,2,1,1,2,1,1,1,0,0,0,0,0
TIMIS,0,0.00720063761371236,30,4,4,2,4,3,,,,,,,0,0
PRAHOVA,0,0.023673371271132,89,1,2,3,2,3,,,,,,,0,0
MURES,0,0.0501214247166757,45,1,1,1,1,1,0,1,0,0,0,0,0,0
BISTRITA-NASAUD,1,,20,1,2,1,2,2,1,0,0,0,0,0,0,0
IASI,0,0.00461806716354316,8,2,1,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,10,2,1,3,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,89,3,2,1,3,1,1,1,1,1,1,0,0,0
PRAHOVA,1,,7,1,2,2,1,2,1,0,0,0,0,0,0,0
TIMIS,1,,23,4,1,2,1,3,,,,,,,0,0
GALATI,1,,60,3,3,3,3,2,1,0,0,0,0,0,0,0
ILFOV,0,0.0224769409868362,52,2,3,1,3,3,,,,,,,0,0
ILFOV,1,,8,3,3,3,2,3,,,,,,,0,0
PRAHOVA,0,0.023673371271132,10,1,4,1,3,3,,,,,,,0,0
CARAS-SEVERIN,0,0.0212871287128713,100,4,4,1,2,1,0,0,0,1,0,0,0,0
CLUJ,0,0.00995949288436951,9,2,1,3,3,2,1,1,0,1,1,0,0,0
BUZAU,1,,41,4,1,1,3,3,,,,,,,0,0
BIHOR,0,0.01063079676737,81,3,2,2,2,2,0,0,0,0,1,0,0,0
SUCEAVA,0,0.00753991720875222,10,1,2,1,1,2,1,1,0,1,1,1,0,0
ILFOV,1,,50,2,1,3,3,2,0,1,0,0,0,1,0,0
IALOMITA,1,,18,2,1,1,1,2,0,0,0,1,1,1,0,0
BACAU,0,0.00804063913393598,2,4,1,1,2,2,0,1,1,0,0,0,0,0
GIURGIU,0,0.0456301951073327,19,4,4,2,3,3,,,,,,,1,1
DOLJ,1,,16,2,1,1,1,3,,,,,,,0,0
SIBIU,1,,20,3,2,1,1,1,0,1,0,0,1,0,0,0
VASLUI,0,0.0130322995339868,12,4,4,1,2,3,,,,,,,0,0
HUNEDOARA,0,0.0119294524927098,33,1,3,2,2,2,0,0,1,0,0,0,0,0
IASI,0,0.00461806716354316,11,2,1,3,3,3,,,,,,,0,0
SUCEAVA,1,,50,2,4,3,3,3,,,,,,,0,0
ARAD,1,,40,4,2,1,1,2,1,0,0,0,0,0,0,0
BIHOR,1,,20,1,3,2,1,2,0,0,0,0,1,0,0,0
ARGES,1,,30,1,2,3,3,2,1,0,0,1,1,0,0,0
IASI,1,,11,3,1,3,3,2,1,0,0,0,1,0,0,0
CLUJ,0,0.00975910709778737,22,3,3,1,3,1,1,1,1,1,1,1,0,0
CONSTANTA,0,0.00841174408886253,40,3,3,2,1,2,0,1,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,15,2,1,2,3,1,1,0,0,1,1,0,0,0
PRAHOVA,0,0.0123746725679704,89,4,2,2,1,3,,,,,,,0,0
BUZAU,0,0.0456143778081657,41,3,3,2,3,2,0,1,0,1,0,0,0,0
IALOMITA,0,0.0266513356466747,27,1,2,1,3,2,0,0,0,0,0,1,0,0
IASI,1,,62,2,1,1,1,2,0,0,0,0,1,0,0,0
NEAMT,0,0.0165117658690923,11,2,1,2,1,1,0,0,0,1,1,1,0,0
MURES,0,0.018858847301068,13,3,3,1,3,2,1,0,0,0,1,0,0,0
TELEORMAN,0,0.0198271479410269,5,3,3,2,2,2,0,0,0,1,1,1,0,0
MURES,0,0.0605306559416684,36,4,4,1,1,2,1,0,0,0,0,0,0,0
ILFOV,0,0.000572041473006793,50,2,1,3,3,2,0,0,0,0,0,1,0,0
PRAHOVA,0,0.00901390939466936,10,1,2,1,1,2,0,1,0,1,1,0,0,0
TIMIS,1,,18,1,1,1,1,2,0,0,0,1,0,1,0,0
SUCEAVA,0,0.00615512118210669,2,4,2,3,1,2,0,1,1,0,1,0,0,0
BUZAU,0,0.0456143778081657,26,4,3,3,2,2,1,0,0,0,0,0,0,0
TELEORMAN,1,,89,1,1,3,2,1,0,0,0,0,1,0,0,0
DAMBOVITA,0,0.033276736029348,78,2,1,3,3,2,1,0,0,0,0,0,0,0
OLT,0,0.039283705231577,55,1,2,2,2,3,,,,,,,0,0
HUNEDOARA,0,0.0119294524927098,89,1,1,1,1,3,,,,,,,0,0
CLUJ,1,,30,1,2,3,3,2,0,0,0,1,0,1,0,0
TELEORMAN,0,0.0315644843848639,20,3,4,1,2,2,0,1,1,0,1,1,0,0
COVASNA,0,0.0147058823529412,33,3,1,3,1,2,0,0,0,0,1,0,0,0
COVASNA,0,0.0147058823529412,47,1,3,1,1,2,0,0,0,1,0,1,0,0
DAMBOVITA,1,,100,3,4,2,2,1,1,1,0,0,0,1,0,0
IALOMITA,0,0.0266513356466747,25,4,4,3,3,2,1,1,1,0,1,0,0,0
TULCEA,0,0.126548307184145,20,4,1,2,3,2,0,0,1,0,1,0,0,0
CONSTANTA,0,0.00841174408886253,41,3,1,1,2,3,,,,,,,0,0
GIURGIU,0,0.0456301951073327,80,2,1,3,3,3,,,,,,,0,0
ARAD,0,0.015784484603859,26,4,1,1,1,2,0,1,0,0,1,0,0,0
SIBIU,0,0.00387084962533837,40,1,1,1,1,2,0,1,0,0,1,0,0,0
BOTOSANI,0,0.0113163348049374,20,2,1,1,3,2,0,1,0,1,1,1,0,0
MURES,0,0.0605306559416684,59,1,3,2,1,3,,,,,,,0,0
BACAU,0,0.00804063913393598,33,1,2,1,1,1,0,0,0,0,0,1,0,0
HUNEDOARA,0,0.00730526497795453,60,1,2,3,1,2,0,1,0,1,0,1,0,0
BUZAU,0,0.0456143778081657,28,2,1,1,1,3,,,,,,,0,0
GIURGIU,0,0.0268439538384345,50,2,1,1,3,1,1,1,0,0,1,0,0,0
MEHEDINTI,0,0.00573493437814026,80,2,1,3,3,3,,,,,,,0,0
BISTRITA-NASAUD,0,0.0208769283176797,30,2,4,1,2,2,1,1,0,1,1,0,0,0
TIMIS,1,,45,3,4,3,1,3,,,,,,,0,0
BRAILA,0,0.0294835680751174,11,4,4,1,1,2,1,1,1,1,1,0,0,0
BOTOSANI,1,,40,1,2,3,4,2,1,0,1,1,1,1,0,0
BACAU,1,,89,2,1,2,3,3,,,,,,,0,0
IALOMITA,0,0.0542822300741065,33,3,1,3,2,5,,,,,,,0,0
HARGHITA,0,0.014640120766755,34,2,1,2,1,4,,,,,,,0,0
ARAD,0,0.0577706455993087,31,4,1,1,3,2,1,1,0,0,0,1,0,0
GALATI,0,0.00635418635418635,24,2,1,3,3,2,1,1,0,0,1,0,0,0
MARAMURES,0,0.0242448176799003,31,1,2,1,1,3,,,,,,,0,0
HUNEDOARA,1,,35,1,2,1,1,3,,,,,,,0,0
OLT,1,,36,1,2,3,3,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,25,2,1,3,3,4,,,,,,,0,0
ARAD,1,,31,3,1,3,4,2,0,0,0,0,0,1,0,0
IASI,0,0.00461806716354316,25,3,1,3,2,2,1,1,1,1,1,0,0,0
MURES,0,0.0225717899335997,6,2,4,1,3,3,,,,,,,0,0
IASI,0,0.0771257905832748,100,4,4,3,4,5,,,,,,,0,0
MURES,1,,89,1,2,3,3,2,1,1,0,0,1,0,0,0
ALBA,0,0.0168477056085125,12,2,2,3,3,2,0,0,0,1,1,1,0,0
ILFOV,1,,30,1,2,2,1,1,0,1,1,0,1,0,0,0
CALARASI,0,0.0313814918346329,89,1,4,1,1,2,0,1,0,0,1,0,0,0
ILFOV,0,0.0379465834200486,20,3,2,1,3,3,,,,,,,0,0
ILFOV,0,0.0501434887148065,34,2,1,3,3,2,1,0,0,0,1,1,0,0
IALOMITA,0,0.108944281524927,10,2,3,3,3,3,,,,,,,0,0
ALBA,0,0.0395480225988701,10,2,1,2,3,3,,,,,,,0,0
ARGES,1,,59,3,3,3,1,2,1,1,1,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,42,1,2,2,1,2,1,1,0,0,1,0,0,0
TIMIS,1,,11,1,2,2,1,1,0,0,1,0,1,0,0,0
CLUJ,0,0.00995949288436951,10,2,1,1,1,2,1,0,0,1,1,0,0,0
PRAHOVA,0,0.023673371271132,20,1,2,3,3,2,0,0,0,0,1,0,0,0
DAMBOVITA,0,0.033276736029348,14,2,2,3,1,2,0,0,0,0,1,0,0,0
CARAS-SEVERIN,0,0.0275258807479336,30,3,3,1,1,2,0,1,0,1,1,1,0,0
SATU MARE,1,,20,1,1,1,3,2,1,0,1,0,0,1,0,0
COVASNA,0,0.0317742993720124,81,2,2,2,1,2,0,0,0,1,0,0,0,0
TULCEA,0,0.0123796423658872,11,3,3,1,3,2,1,0,0,0,1,0,0,0
IALOMITA,0,0.0542822300741065,35,3,2,1,1,2,1,0,0,1,1,1,0,0
NEAMT,0,0.00907256988547215,30,1,2,2,3,2,0,1,1,0,1,0,0,0
ARGES,1,,25,3,4,3,3,2,1,0,0,0,1,0,0,0
CALARASI,0,0.0578566987876904,53,1,2,3,1,3,,,,,,,0,0
VASLUI,0,0.0130322995339868,6,1,1,1,4,3,,,,,,,0,0
ARAD,0,0.015784484603859,30,1,2,2,1,2,1,1,0,0,0,0,0,0
ILFOV,1,,24,1,2,2,1,2,1,0,0,0,1,0,0,0
BIHOR,0,0.0509200662058222,39,2,3,3,2,3,,,,,,,0,0
NEAMT,0,0.00907256988547215,10,1,2,1,3,1,1,1,1,0,1,0,0,0
NEAMT,0,0.0251855147537858,14,1,1,3,3,2,0,0,0,1,1,0,0,0
IASI,0,0.00461806716354316,30,3,2,3,1,3,,,,,,,0,0
SALAJ,0,0.0130313930673643,10,1,2,1,1,3,,,,,,,0,0
VRANCEA,0,0.0114096822350181,8,3,3,2,1,2,1,1,0,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,82,4,4,2,1,2,0,0,0,0,0,1,0,0
BACAU,0,0.00628944894578987,10,2,1,3,1,3,,,,,,,0,0
SALAJ,0,0.0130313930673643,40,4,4,2,1,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,2,3,3,2,3,2,1,0,0,1,0,1,0,0
CARAS-SEVERIN,1,,5,4,4,1,1,3,,,,,,,0,0
ARGES,0,0.00523976060882201,56,2,1,1,3,2,0,0,0,0,1,1,0,0
VALCEA,0,0.012389446579841,89,1,4,2,3,2,1,0,0,0,0,0,0,0
SIBIU,0,0.00387084962533837,64,3,3,3,3,2,1,0,0,0,0,0,0,0
IASI,0,0.00461806716354316,60,3,2,3,2,3,,,,,,,0,0
NEAMT,1,,12,4,2,1,2,3,,,,,,,0,0
ARGES,0,0.00523976060882201,72,3,1,2,2,2,1,1,0,0,0,0,0,0
ILFOV,0,0.0379465834200486,42,1,2,2,1,3,,,,,,,0,0
NEAMT,0,0.0251855147537858,41,2,1,3,3,1,1,1,1,0,0,0,0,0
ILFOV,1,,12,1,2,3,3,2,0,1,0,1,1,0,0,0
ILFOV,0,0.0379465834200486,6,4,2,1,1,1,0,1,0,0,1,0,0,0
PRAHOVA,0,0.00901390939466936,50,4,4,2,3,4,,,,,,,0,0
DAMBOVITA,1,,89,1,2,1,1,2,0,1,0,1,1,1,0,0
BUCURESTI,0,0.0127187273323463,66,3,1,3,1,2,1,1,0,0,1,0,0,0
ARGES,1,,41,2,2,1,3,3,,,,,,,0,0
TIMIS,1,,12,3,4,1,3,3,,,,,,,0,0
SUCEAVA,0,0.00828349615541771,100,2,3,1,3,2,0,0,1,0,0,0,0,0
TELEORMAN,1,,24,3,3,2,4,2,0,0,0,0,1,0,0,0
BUZAU,0,0.0456143778081657,60,2,2,2,3,3,,,,,,,0,0
IASI,0,0.00461806716354316,20,2,1,3,3,3,,,,,,,0,0
ILFOV,0,0.0501434887148065,30,2,2,2,3,3,,,,,,,0,0
HARGHITA,0,0.0170627666057282,60,2,1,2,1,4,,,,,,,0,0
TIMIS,0,0.00558186738836265,7,3,3,2,3,1,1,1,0,0,1,0,0,0
SIBIU,0,0.00387084962533837,30,4,2,3,3,3,,,,,,,0,0
GIURGIU,0,0.0456301951073327,50,2,1,3,3,2,1,0,0,1,0,0,0,0
IASI,1,,20,2,1,3,3,2,1,1,0,1,1,0,0,0
ARGES,1,,35,2,1,1,1,3,,,,,,,0,0
BISTRITA-NASAUD,0,0.0208769283176797,50,2,1,1,1,3,,,,,,,0,0
MARAMURES,1,,89,2,1,3,3,1,1,0,0,0,1,0,0,0
ARGES,1,,51,3,3,3,1,3,,,,,,,0,0
SUCEAVA,0,0.00615512118210669,4,1,2,1,3,2,0,1,1,1,1,0,0,0
MURES,0,0.0602914389799636,53,2,1,1,1,3,,,,,,,0,0
VRANCEA,0,0.0118903472659466,0,2,2,1,1,3,,,,,,,0,0
GALATI,0,0.0395961714960011,89,1,2,2,1,4,,,,,,,0,0
PRAHOVA,0,0.018405081957915,3,3,2,1,3,2,0,0,0,0,1,1,0,0
BUCURESTI,0,0.0127187273323463,74,1,3,3,3,1,1,0,0,0,1,0,0,0
HUNEDOARA,0,0.0119294524927098,12,3,3,1,3,2,1,1,1,1,1,0,0,0
VRANCEA,0,0.0540689655172414,8,1,4,3,2,2,1,1,1,1,1,0,0,0
ARGES,0,0.00523976060882201,10,4,2,1,3,2,0,0,0,0,1,0,0,0
IALOMITA,0,0.00360938439943854,89,4,4,1,4,2,0,0,0,0,1,0,0,0
SUCEAVA,0,0.00615512118210669,21,3,3,1,2,1,1,0,0,0,0,0,0,0
HARGHITA,0,0.00847862731778499,34,2,1,1,3,2,1,1,0,0,1,1,0,0
DOLJ,0,0.0200611325030765,20,2,1,3,3,3,,,,,,,0,0
PRAHOVA,0,0.018405081957915,10,2,1,2,2,3,,,,,,,0,0
BUZAU,0,0.0782041214221885,20,2,1,2,1,3,,,,,,,0,0
TIMIS,1,,70,1,2,3,3,3,,,,,,,0,0
CARAS-SEVERIN,0,0.0212871287128713,23,1,1,2,3,2,0,1,1,1,1,1,0,0
BRASOV,0,0.00321409129212436,28,2,1,1,2,3,,,,,,,0,0
VASLUI,0,0.0130322995339868,89,1,3,2,1,3,,,,,,,0,0
DAMBOVITA,0,0.033276736029348,22,1,4,1,4,1,1,0,0,0,1,0,0,0
PRAHOVA,1,,20,4,1,2,1,3,,,,,,,0,0
MARAMURES,0,0.0242448176799003,25,2,1,1,1,2,0,0,0,0,1,0,0,0
ARAD,0,0.049087982832618,80,2,4,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,96,1,1,1,1,3,,,,,,,1,0
MURES,0,0.0225717899335997,14,1,2,1,1,2,1,1,1,0,1,0,0,0
BRASOV,0,0.0490268970041548,30,2,1,1,3,2,0,0,0,1,0,1,0,0
SALAJ,0,0.0130313930673643,1,2,3,3,3,4,,,,,,,0,0
PRAHOVA,1,,25,2,1,3,3,2,1,1,0,0,0,1,0,0
BOTOSANI,1,,89,1,2,3,3,3,,,,,,,0,0
PRAHOVA,1,,15,1,2,1,1,3,,,,,,,0,0
CLUJ,1,,25,1,2,1,3,3,,,,,,,0,0
SATU MARE,0,0.0118774264346511,25,1,3,2,3,3,,,,,,,0,0
TIMIS,1,,46,1,2,2,3,1,1,0,0,0,0,0,0,0
CLUJ,0,0.0328575874794362,30,2,3,2,1,2,1,1,0,1,0,0,0,0
HUNEDOARA,0,0.0160927793213249,31,2,2,3,3,2,1,0,1,1,0,0,0,0
BUZAU,0,0.0456143778081657,50,2,1,3,3,3,,,,,,,0,0
SATU MARE,0,0.0118774264346511,9,2,1,1,3,2,0,0,0,0,1,0,0,0
ALBA,0,0.0389097131681877,26,2,2,1,3,2,1,1,1,1,1,0,0,1
VASLUI,1,,20,1,2,2,1,3,,,,,,,0,0
SUCEAVA,0,0.00828349615541771,25,3,2,1,2,2,0,1,0,0,0,1,0,0
MARAMURES,0,0.0380213870302045,35,4,4,2,1,3,,,,,,,0,0
SATU MARE,0,0.105605109569431,51,1,2,1,2,2,0,0,0,0,0,1,0,0
ILFOV,0,0.00708771613019728,30,3,1,2,1,2,1,1,0,0,1,1,0,0
VALCEA,1,,34,1,2,1,3,2,0,0,0,0,1,0,0,0
MURES,0,0.0605306559416684,27,1,2,2,3,2,0,0,0,0,1,0,0,0
IASI,0,0.0139510397473019,20,4,4,3,4,5,,,,,,,0,0
BRASOV,0,0.00321409129212436,20,2,3,1,2,3,,,,,,,0,0
DOLJ,0,0.0200611325030765,20,2,2,1,3,1,1,0,1,0,1,0,0,0
SIBIU,0,0.0151530256205762,2,2,2,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,70,4,2,3,3,3,,,,,,,0,0
ILFOV,1,,9,4,3,2,3,1,1,1,1,1,1,1,0,0
IASI,0,0.0139510397473019,16,4,4,2,1,2,1,1,0,0,0,0,0,0
DOLJ,0,0.0200611325030765,16,2,4,1,3,3,,,,,,,0,0
MARAMURES,0,0.0125493371116284,12,1,2,3,3,2,1,0,0,0,1,1,0,0
VASLUI,0,0.0130322995339868,2,3,4,1,1,3,,,,,,,0,0
IASI,0,0.0139510397473019,29,3,2,3,2,5,,,,,,,0,0
GORJ,1,,30,4,4,1,3,2,0,1,0,1,1,1,0,0
VALCEA,0,0.0546687532603026,13,1,2,3,1,3,,,,,,,0,0
TIMIS,0,0.00720063761371236,50,4,4,1,3,4,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,0,4,4,2,1,2,1,0,0,0,0,1,0,0
BIHOR,0,0.0228043828911508,14,1,2,1,3,5,,,,,,,0,0
SUCEAVA,0,0,24,3,1,2,1,3,,,,,,,0,0
SALAJ,0,0.0836337883080093,25,1,1,1,1,1,0,1,0,0,1,0,0,0
VASLUI,0,0.0130322995339868,41,2,1,2,1,1,1,0,1,0,1,0,0,0
CLUJ,0,0.0490183973330041,5,2,1,3,1,3,,,,,,,0,0
MURES,0,0.0225717899335997,19,4,4,1,1,1,0,1,0,0,0,0,0,0
BRASOV,0,0.00321409129212436,80,2,1,3,3,2,1,1,0,0,1,0,0,0
MEHEDINTI,0,0.0108803165182987,89,2,1,1,1,2,1,1,0,1,0,1,0,0
BRASOV,0,0.00321409129212436,20,3,1,2,3,2,1,1,1,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,65,2,1,3,1,2,1,0,0,1,0,1,0,0
BUZAU,0,0.0782041214221885,89,1,2,3,3,2,1,1,0,1,0,0,1,1
BUCURESTI,0,0.0127187273323463,20,2,1,3,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,40,4,4,3,3,3,,,,,,,0,0
SUCEAVA,0,0.00204026845637584,50,2,1,3,3,2,0,0,0,1,1,1,0,0
