jud,rural,roma,II1,II13,II15,V4,V5_1,V5_2,V5_3,V5_4,V5_5,V5_6,VII1_3,VII2_3
GALATI,1,,44,2,3,2,0,1,1,0,0,0,0,0
TIMIS,1,,25,1,3,3,,,,,,,0,0
PRAHOVA,0,0.023673371271132,1,1,1,3,,,,,,,0,0
BACAU,0,0.00804063913393598,23,1,1,2,0,1,0,0,1,0,0,0
BACAU,1,,14,2,1,3,,,,,,,0,0
VRANCEA,0,0.0118903472659466,4,2,3,1,0,1,0,0,1,0,0,0
TELEORMAN,1,,30,1,3,1,1,1,0,0,1,0,0,0
MARAMURES,1,,36,3,1,2,0,0,1,0,0,0,0,0
IASI,0,0.00461806716354316,35,3,3,1,0,0,0,0,0,1,0,0
BRASOV,1,,5,1,1,2,1,1,0,0,1,0,0,0
VASLUI,0,0.0130322995339868,50,2,1,2,0,0,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,40,1,1,3,,,,,,,0,0
OLT,1,,80,3,1,2,1,0,0,0,0,0,0,0
OLT,0,0.0243140120149375,18,1,2,2,1,0,0,1,0,0,0,0
VRANCEA,1,,11,2,1,2,1,0,0,0,0,0,0,0
HARGHITA,1,,20,2,3,3,,,,,,,0,0
ARGES,1,,10,2,1,3,,,,,,,0,0
BISTRITA-NASAUD,0,0.0208769283176797,42,3,3,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,12,3,1,1,0,1,0,0,1,0,0,0
MURES,1,,89,2,1,2,0,1,0,0,1,1,1,1
PRAHOVA,0,0.023673371271132,12,1,1,1,0,1,1,0,1,1,0,1
VRANCEA,1,,6,1,1,1,1,1,1,1,1,0,0,0
SATU MARE,0,0.0118774264346511,88,2,1,3,,,,,,,0,0
BUZAU,1,,9,3,1,3,,,,,,,0,0
BACAU,0,0.00804063913393598,63,1,3,2,0,1,0,0,0,0,0,1
ARAD,0,0.015784484603859,17,1,4,1,1,1,0,0,1,0,0,0
ILFOV,1,,10,2,3,2,0,1,0,0,0,0,0,0
CALARASI,1,,49,1,1,4,,,,,,,0,0
BIHOR,1,,6,1,1,2,0,1,0,1,1,0,0,0
IASI,0,0.00461806716354316,10,1,1,1,1,1,0,1,0,0,0,0
CALARASI,1,,50,1,1,1,1,0,1,0,1,1,0,0
DAMBOVITA,1,,25,3,3,2,1,0,0,0,1,0,0,0
CONSTANTA,1,,37,2,1,2,0,1,0,0,0,0,0,0
TIMIS,1,,7,1,1,2,1,0,0,1,1,0,0,0
ARGES,1,,2,2,1,1,1,0,0,0,0,0,0,0
CLUJ,1,,50,1,1,1,1,1,0,1,1,0,0,0
PRAHOVA,1,,20,2,1,2,0,0,0,0,0,1,0,0
CONSTANTA,0,0.0262261893806938,20,1,1,2,0,1,1,1,1,1,0,0
OLT,1,,49,1,1,2,0,1,0,0,1,0,0,0
GIURGIU,1,,8,1,3,3,,,,,,,0,0
ARGES,1,,25,1,1,2,0,0,1,1,1,0,0,0
TIMIS,1,,5,2,3,1,1,1,1,1,1,0,0,0
IASI,0,0.00461806716354316,10,1,3,1,1,0,0,0,1,0,0,0
IASI,1,,30,2,1,1,0,1,1,0,1,0,0,0
ARAD,1,,37,2,3,2,0,0,0,1,0,0,0,0
ILFOV,0,0.0379465834200486,50,3,3,2,1,1,0,0,1,0,0,0
PRAHOVA,1,,0,2,1,3,,,,,,,0,0
VALCEA,0,0.012389446579841,28,1,3,2,0,0,0,0,1,0,0,0
VASLUI,0,0.0158615004122012,30,1,1,2,0,0,1,0,1,0,0,0
BACAU,1,,10,2,1,2,0,0,0,0,1,0,0,0
CLUJ,1,,52,2,3,1,0,1,1,1,1,1,0,0
TIMIS,1,,17,1,1,2,0,1,0,0,1,0,0,0
CLUJ,1,,7,2,1,2,1,0,0,0,1,0,0,0
BIHOR,1,,5,1,1,3,,,,,,,0,0
CLUJ,0,0.00995949288436951,27,2,3,1,1,1,1,0,0,1,0,0
ILFOV,1,,39,1,3,3,,,,,,,0,0
ILFOV,1,,50,2,1,3,,,,,,,0,0
VRANCEA,1,,20,1,1,3,,,,,,,0,0
OLT,0,0.039283705231577,50,2,1,2,1,1,0,1,1,1,0,0
SUCEAVA,1,,26,3,3,2,1,0,0,0,0,0,0,0
BUCURESTI,0,0.0127187273323463,51,2,3,2,0,0,1,0,0,0,0,1
GIURGIU,1,,30,1,1,1,1,1,1,1,1,1,0,0
BACAU,0,0.0729450499545867,44,2,1,2,1,0,0,0,1,1,0,0
TIMIS,1,,29,2,3,3,,,,,,,0,0
SUCEAVA,1,,50,2,1,1,1,1,0,1,1,0,0,0
GALATI,1,,13,1,1,4,,,,,,,0,0
HUNEDOARA,0,0.0119294524927098,25,2,1,2,0,0,0,0,0,1,0,0
TIMIS,1,,16,2,1,2,1,0,0,0,0,1,0,0
MURES,1,,75,1,3,2,1,1,0,0,1,0,0,0
BUCURESTI,0,0.0127187273323463,38,1,1,3,,,,,,,0,0
CLUJ,1,,2,2,1,1,1,1,0,0,1,0,0,0
DAMBOVITA,1,,40,1,3,2,0,0,0,0,1,1,0,0
TIMIS,1,,87,3,3,2,1,0,0,1,1,0,0,0
ILFOV,1,,10,2,1,1,1,1,1,0,1,0,0,0
BOTOSANI,1,,16,1,1,3,,,,,,,0,0
NEAMT,0,0.0251855147537858,100,3,1,1,0,0,0,0,0,1,0,0
IASI,1,,40,1,3,2,1,0,0,0,0,0,0,0
MARAMURES,1,,49,1,3,2,0,1,0,1,1,0,0,0
MARAMURES,1,,0,2,1,3,,,,,,,0,0
BUZAU,0,0.0456143778081657,20,3,3,2,1,1,1,0,1,1,0,0
IASI,1,,42,3,3,2,0,0,0,1,1,0,0,0
SUCEAVA,1,,20,1,1,3,,,,,,,0,0
SALAJ,1,,30,1,1,2,0,1,0,0,0,0,0,0
DAMBOVITA,0,0.033276736029348,23,2,3,4,,,,,,,0,0
SATU MARE,1,,80,1,1,3,,,,,,,0,1
TIMIS,0,0.00720063761371236,2,2,1,2,0,0,0,0,1,0,0,0
IASI,1,,20,1,2,2,1,0,1,1,1,0,0,0
IASI,1,,22,3,1,4,,,,,,,0,0
BOTOSANI,1,,51,2,3,1,0,0,0,0,1,0,0,0
IASI,1,,10,1,3,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,20,3,1,2,1,1,1,1,1,0,1,1
BRAILA,1,,60,2,1,2,0,1,0,0,0,0,0,0
BRASOV,0,0.00321409129212436,20,1,1,2,0,1,0,0,1,0,0,0
CONSTANTA,0,0.00791259257216147,89,1,1,1,1,0,0,0,0,0,0,0
SALAJ,1,,89,2,1,2,1,0,1,0,1,0,0,0
IASI,0,0.00461806716354316,14,3,3,1,1,1,0,0,1,1,0,0
BIHOR,0,0.01063079676737,5,1,3,1,1,1,1,1,1,1,0,0
GALATI,1,,40,2,3,2,1,0,0,0,0,0,0,0
CLUJ,0,0.00995949288436951,28,1,3,5,,,,,,,0,0
CLUJ,1,,45,1,3,2,1,0,1,0,0,0,0,0
ARGES,1,,20,1,1,2,1,1,0,0,1,0,0,0
GORJ,1,,50,3,1,2,1,0,1,0,1,0,0,0
DOLJ,0,0.0200611325030765,70,1,3,1,0,1,0,0,1,0,0,0
CLUJ,1,,5,2,3,2,1,1,1,1,1,0,0,0
PRAHOVA,1,,15,2,1,3,,,,,,,0,0
BUCURESTI,0,0.0127187273323463,20,2,3,3,,,,,,,0,0
VALCEA,0,0.019699629412912,70,3,1,2,0,0,0,0,1,0,0,0
ILFOV,0,0.000572041473006793,49,1,1,2,1,1,0,0,0,0,0,0
HARGHITA,1,,89,1,1,3,,,,,,,0,0
CARAS-SEVERIN,1,,35,2,3,2,1,0,0,0,0,0,0,0
DAMBOVITA,1,,30,1,3,2,1,1,1,1,1,0,0,0
DAMBOVITA,0,0.033276736029348,16,2,3,2,1,1,1,1,1,0,0,0
NEAMT,1,,90,2,3,1,0,1,0,0,1,0,0,0
ILFOV,1,,43,1,1,3,,,,,,,0,0
MARAMURES,0,0.0242448176799003,45,2,1,2,1,1,0,0,1,0,0,0
CALARASI,0,0.0578566987876904,25,1,1,5,,,,,,,0,0
ILFOV,0,0.0501434887148065,60,3,1,3,,,,,,,0,0
IALOMITA,1,,7,2,1,1,1,1,1,1,1,1,0,0
SIBIU,0,0.00387084962533837,30,3,1,2,0,1,0,0,1,0,0,0
GORJ,1,,50,3,1,2,0,0,0,0,1,0,0,0
SIBIU,1,,15,1,3,2,0,1,1,1,1,0,0,0
TIMIS,1,,82,1,3,5,,,,,,,0,0
MARAMURES,1,,20,2,1,3,,,,,,,0,0
CALARASI,0,0.0313814918346329,35,1,1,1,0,0,1,1,1,0,0,0
BOTOSANI,0,0.0113163348049374,44,3,3,2,0,1,0,0,0,0,0,0
ALBA,1,,7,1,1,1,1,1,1,0,1,0,0,0
BISTRITA-NASAUD,0,0.0208769283176797,65,3,1,3,,,,,,,0,0
CLUJ,1,,10,1,3,2,1,1,1,0,1,0,0,1
IASI,0,0.00461806716354316,80,2,1,1,0,0,0,0,1,0,1,0
DOLJ,0,0.0126612709351711,10,2,1,3,,,,,,,0,0
ILFOV,1,,30,1,1,1,0,0,1,0,0,0,0,0
BACAU,0,0.00804063913393598,7,1,3,2,0,1,0,0,0,0,0,0
TIMIS,1,,26,1,1,1,0,1,0,0,0,0,1,0
BACAU,1,,59,2,1,3,,,,,,,0,0
SIBIU,1,,10,2,1,3,,,,,,,0,0
