town,jud,roma,roma_above_median
SEBES,ALBA,0.0395480225988701,1
MARGHITA,BIHOR,0.0534723896792862,1
CAMPIA TURZII,CLUJ,0.0490183973330041,1
BABENI,VALCEA,0.0397889646076061,1
BLAJ,ALBA,0.0816902756508423,1
DOROHOI,BOTOSANI,0.0141886119674628,1
PARTESTII DE JOS,SUCEAVA,0.040582726326743,1
BREAZA,PRAHOVA,0.00048030739673391,0
TICLENI,GORJ,0.0140579101972304,1
HARMAN,BRASOV,0.0468215994531784,1
BEIUS,BIHOR,0.0239598811292719,1
HUNEDOARA,HUNEDOARA,0.0160927793213249,1
BOLDUR,TIMIS,0,0
BALS,OLT,0.0329888073689284,1
BOLOTESTI,VRANCEA,0.000213356091316407,0
TUNARI,ILFOV,0.0851658591129333,1
JIRLAU,BRAILA,0.0421279212792128,1
LEORDA,BOTOSANI,0,0
COMANESTI,BACAU,0.0307762766201053,1
BAICOI,PRAHOVA,0.00201816347124117,0
BRAD,HUNEDOARA,0.0131024493020806,1
MARZANESTI,TELEORMAN,0.0380684721512519,1
ORASTIE,HUNEDOARA,0.050660901184217,1
TOPLITA,HARGHITA,0.0348306182264331,1
CAMPULUNG MUSCEL,ARGES,0.0171872273599721,1
TARGU FRUMOS,IASI,0.0771257905832748,1
MOINESTI,BACAU,0.0503218786834709,1
SFANTU GHEORGHE,COVASNA,0.00684872723527695,0
TARNAVENI,MURES,0.102132340497546,1
STANESTI,GORJ,0.000829531314807134,0
OITUZ,BACAU,0.000108026358431457,0
BUMBESTI-JIU,GORJ,0.0341109383100052,1
RESITA,CARAS-SEVERIN,0.0149858188773828,1
IANCA,BRAILA,0.0294835680751174,1
MOTRU,GORJ,0.00366282941680145,0
CHISINEU-CRIS,ARAD,0.0577706455993087,1
DUDESTII VECHI,TIMIS,0.0522721921356251,1
CAMPULUNG MOLDOVENESC,SUCEAVA,0.00204026845637584,0
TARGU SECUIESC,COVASNA,0.0147058823529412,1
VOLUNTARI,ILFOV,0.0115735382621175,1
CRUCEA,CONSTANTA,0.00126103404791929,0
MIHAI VITEAZU,CLUJ,0.0147007955724663,1
BIVOLARI,IASI,0,0
URICANI,HUNEDOARA,0.0188988420362683,1
STREHAIA,MEHEDINTI,0.107986398308979,1
LUPENI,HUNEDOARA,0.031802686986164,1
SACUENI,BIHOR,0.150755494505495,1
PETRESTII DE JOS,CLUJ,0.0258064516129032,1
SENDRENI,GALATI,0.000257003341043434,0
DEVESEL,MEHEDINTI,0.101785714285714,1
ALBA IULIA,ALBA,0.0168477056085125,1
ZORLENI,VASLUI,0.00452001721911322,0
OZUN,COVASNA,0.0291676015256899,1
IPOTESTI,SUCEAVA,0,0
BERCENI,ILFOV,0.0080013335555926,1
ONESTI,BACAU,0.00628944894578987,0
CAVNIC,MARAMURES,0.00513935560387428,0
BUFTEA,ILFOV,0.0680621201890615,1
TURDA,CLUJ,0.0523026895727634,1
SIMLEU SILVANIEI,SALAJ,0.0836337883080093,1
JIBOU,SALAJ,0.0541450541450542,1
SEINI,MARAMURES,0.0211663543159519,1
AVRIG,SIBIU,0.0132017989264471,1
SIMNICU DE SUS,DOLJ,0.00257400257400257,0
RAFOV,PRAHOVA,0.0120616069771757,1
ORTISOARA,TIMIS,0.00844079718640094,1
CATEASCA,ARGES,0.00767326732673267,1
VICTORIA,BRAILA,0.0166446499339498,1
APOLDU DE JOS,SIBIU,0.014695077149155,1
MARACINENI,BUZAU,0.00316529894490035,0
CALAN,HUNEDOARA,0.0136020151133501,1
ROSIORI DE VEDE,TELEORMAN,0.0167676628563559,1
CEFA,BIHOR,0.113362068965517,1
CAMPINEANCA,VRANCEA,0.00410060142154183,0
GHIMBAV,BRASOV,0.00187336080929187,0
BAZNA,SIBIU,0.28062935259221,1
SCARISOARA,ALBA,0.148538011695906,1
STEFANESTI,ARGES,0.0562980963953017,1
VADU CRISULUI,BIHOR,0.0901098901098901,1
TURNU ROSU,SIBIU,0.00839664134346262,1
PERIS,ILFOV,0.00145252872045425,0
RASCA,SUCEAVA,0.00134796841902561,0
HARSOVA,CONSTANTA,0.0510133465150766,1
HOGHIZ,BRASOV,0.0365637900530765,1
CORABIA,OLT,0.063013698630137,1
DOMNESTI,ILFOV,0.0199771689497717,1
DOBROESTI,ILFOV,0.00467836257309942,0
